FID,Wet_Maxent,NPP,Economy,Category,Status,Sitename
8,1,0,Fishing/Foraging,Anth,Predict,
12,1,0,Fishing/Foraging,Anth,Predict,
18,4,0,Mixed,Anth,Predict,
19,1,0,Mixed,Anth,Predict,
20,1,0,Fishing/Foraging,Anth,Predict,
24,1,0,Fishing/Foraging,Anth,Predict,
30,2,0,Non Anth,Non Anth,Predict,
34,1,0,Fishing/Foraging,Anth,Predict,
35,1,0,Fishing/Foraging,Anth,Predict,
37,1,0,Fishing/Foraging,Anth,Predict,
39,1,0,Fishing/Foraging,Anth,Predict,
43,1,0,Fishing/Foraging,Anth,Predict,
155,1,0,Fishing/Foraging,Anth,Predict,
156,3,0,Non Anth,Non Anth,Predict,
157,1,0,Fishing/Foraging,Anth,Predict,
158,4,0,Pastoralist,Anth,Predict,
159,1,0,Fishing/Foraging,Anth,Predict,
160,1,0,Fishing/Foraging,Anth,Predict,
162,1,0,Fishing/Foraging,Anth,Predict,
163,3,0,Non Anth,Non Anth,Predict,
165,1,0,Fishing/Foraging,Anth,Predict,
167,1,0,Fishing/Foraging,Anth,Predict,
168,1,0,Fishing/Foraging,Anth,Predict,
170,3,0,Non Anth,Non Anth,Predict,
172,1,0,Fishing/Foraging,Anth,Predict,
175,1,0,Fishing/Foraging,Anth,Predict,
177,1,0,Fishing/Foraging,Anth,Predict,
178,3,0,Non Anth,Non Anth,Predict,
180,1,0,Fishing/Foraging,Anth,Predict,
184,1,0,Fishing/Foraging,Anth,Predict,
185,2,0,Non Anth,Non Anth,Predict,
187,1,0,Fishing/Foraging,Anth,Predict,
194,2,0,Non Anth,Non Anth,Predict,
195,1,0,Fishing/Foraging,Anth,Predict,
199,1,0,Fishing/Foraging,Anth,Predict,
200,2,0,Non Anth,Non Anth,Predict,
203,4,0,Pastoralist,Anth,Predict,
206,2,0,Non Anth,Non Anth,Predict,
304,1,0,Fishing/Foraging,Anth,Predict,
312,1,0,Fishing/Foraging,Anth,Predict,
323,1,0,Fishing/Foraging,Anth,Predict,
342,2,0,Non Anth,Non Anth,Predict,
357,2,0,Non Anth,Non Anth,Predict,
366,1,0,Fishing/Foraging,Anth,Predict,
367,1,0,Fishing/Foraging,Anth,Predict,
431,1,0,Pastoralist,Anth,Predict,
639,1,0,Fishing/Foraging,Anth,Predict,
640,1,0,Fishing/Foraging,Anth,Predict,
643,3,0,Non Anth,Non Anth,Predict,
651,3,0,Non Anth,Non Anth,Predict,
691,1,0,Fishing/Foraging,Anth,Predict,
819,2,0,Non Anth,Non Anth,Predict,
825,1,0,Fishing/Foraging,Anth,Predict,
826,1,0,Fishing/Foraging,Anth,Predict,
828,1,0,Fishing/Foraging,Anth,Predict,
829,1,0,Fishing/Foraging,Anth,Predict,
831,1,0,Fishing/Foraging,Anth,Predict,
832,1,0,Fishing/Foraging,Anth,Predict,
833,1,0,Fishing/Foraging,Anth,Predict,
834,1,0,Fishing/Foraging,Anth,Predict,
837,1,0,Fishing/Foraging,Anth,Predict,
838,2,0,Non Anth,Non Anth,Predict,
839,1,0,Fishing/Foraging,Anth,Predict,
841,1,0,Fishing/Foraging,Anth,Predict,
844,1,0,Fishing/Foraging,Anth,Predict,
565,1,24,Fishing/Foraging,Anth,Predict,
535,1,26,Fishing/Foraging,Anth,Predict,
577,1,52,Fishing/Foraging,Anth,Predict,
725,1,53,Fishing/Foraging,Anth,Predict,
557,1,63,Fishing/Foraging,Anth,Predict,
576,1,77,Fishing/Foraging,Anth,Predict,
562,1,87,Fishing/Foraging,Anth,Predict,
612,1,98,Fishing/Foraging,Anth,Predict,
176,1,99,Fishing/Foraging,Anth,Predict,
537,1,111,Fishing/Foraging,Anth,Predict,
301,3,117,Non Anth,Non Anth,Predict,
561,1,129,Fishing/Foraging,Anth,Predict,
451,3,134,Pastoralist,Anth,Predict,
599,1,138,Pastoralist,Anth,Predict,
671,1,139,Fishing/Foraging,Anth,Predict,
717,1,142,Fishing/Foraging,Anth,Predict,
558,1,145,Fishing/Foraging,Anth,Predict,
566,1,147,Fishing/Foraging,Anth,Predict,
669,1,149,Fishing/Foraging,Anth,Predict,
264,3,150,Pastoralist,Anth,Predict,
388,1,152,Fishing/Foraging,Anth,Predict,
748,1,165,Fishing/Foraging,Anth,Predict,
536,1,169,Fishing/Foraging,Anth,Predict,
569,1,172,Fishing/Foraging,Anth,Predict,
410,1,181,Fishing/Foraging,Anth,Predict,
550,1,184,Fishing/Foraging,Anth,Predict,
723,1,185,Fishing/Foraging,Anth,Predict,
10,1,188,Fishing/Foraging,Anth,Predict,
217,1,190,Fishing/Foraging,Anth,Predict,
442,1,191,Pastoralist,Anth,Predict,
715,1,194,Fishing/Foraging,Anth,Predict,
579,1,200,Fishing/Foraging,Anth,Predict,
553,1,202,Fishing/Foraging,Anth,Predict,
572,3,202,Non Anth,Non Anth,Predict,
