FID,Economy,Category,Sitename,Elevation_,Chronology,NPP
0,Non Arch,Non_Anth, , , ,0
1,Non Arch,Non_Anth, , , ,0
2,Non Arch,Non_Anth,G-30FR,8m, ,370
3,Non Arch,Non_Anth,G-29FR,7m, ,371
4,Non Arch,Non_Anth,G-27FR,9m, ,371
5,Non Arch,Non_Anth,G-27FR,4m, ,371
6,Non Arch,Non_Anth,G-26FR,1m, ,395
7,Non Arch,Non_Anth,G-25FR,6m, ,394
8,Non Arch,Non_Anth,G29HIR002,8m, ,372
9,Non Arch,Non_Anth,G29HIR03,12m, ,371
10,Non Arch,Non_Anth,G27HIR05,6m, ,395
11,Non Arch,Non_Anth,G26HIR06,3m, ,395
12,Non Arch,Non_Anth,G28HIR09,2m, ,1283
13,Non Arch,Non_Anth,G30VA001,25, ,372
14,Non Arch,Non_Anth,G30VA003,14, ,395
15,Non Arch,Non_Anth,G29VA001,13, ,372
16,Non Arch,Non_Anth,G29VA003,17, ,371
17,Non Arch,Non_Anth,G27VA001,8, ,371
18,Non Arch,Non_Anth,G28VA002,1m, ,372
19,Non Arch,Non_Anth,Gi4HA,5m, ,819
20,Non Arch,Non_Anth,Gi30HA,9m, ,370
21,Non Arch,Non_Anth,Gi30HA,9m, ,372
22,Non Arch,Non_Anth,Gi29HA,7m, ,371
23,Non Arch,Non_Anth,Gi27HA,8m, ,395
24,Non Arch,Non_Anth,Gi26HA,6m, ,393
25,Non Arch,Non_Anth,Gi28HA,9m, ,1434
26,Non Arch,Non_Anth,Gi28HA,6m, ,372
27,Non Arch,Non_Anth,G30RO,10m, ,372
28,Non Arch,Non_Anth,G30RO1,7m, ,371
29,Non Arch,Non_Anth,G29RO,15m, ,372
30,Non Arch,Non_Anth,G27RO,4m, ,371
31,Non Arch,Non_Anth,G26RO1,0m, ,393
32,Non Arch,Non_Anth,G25RO,3m, ,556
33,Fishing/Foraging,Anth, , , ,441
34,Fishing/Foraging,Anth, , , ,1191
35,Fishing/Foraging,Anth, , , ,808
36,Fishing/Foraging,Anth, , , ,463
37,Fishing/Foraging,Anth, , , ,124
38,Fishing/Foraging,Anth, , , ,762
39,Fishing/Foraging,Anth, , , ,1170
40,Fishing/Foraging,Anth, , , ,1180
41,Fishing/Foraging,Anth, , , ,1402
