FID,Wet_Maxent,NPP,Economy,Anthro
8,1,0,Fishing/Foraging,Anth
12,1,0,Fishing/Foraging,Anth
18,4,0,Mixed,Anth
19,1,0,Mixed,Anth
20,1,0,Fishing/Foraging,Anth
24,1,0,Fishing/Foraging,Anth
30,2,0,Non Anth,Non Anth
34,1,0,Fishing/Foraging,Anth
35,1,0,Fishing/Foraging,Anth
37,1,0,Fishing/Foraging,Anth
39,1,0,Fishing/Foraging,Anth
43,1,0,Fishing/Foraging,Anth
155,1,0,Fishing/Foraging,Anth
156,3,0,Non Anth,Non Anth
157,1,0,Fishing/Foraging,Anth
158,4,0,Pastoralist,Anth
159,1,0,Fishing/Foraging,Anth
160,1,0,Fishing/Foraging,Anth
162,1,0,Fishing/Foraging,Anth
163,3,0,Non Anth,Non Anth
165,1,0,Fishing/Foraging,Anth
167,1,0,Fishing/Foraging,Anth
168,1,0,Fishing/Foraging,Anth
170,3,0,Non Anth,Non Anth
172,1,0,Fishing/Foraging,Anth
175,1,0,Fishing/Foraging,Anth
177,1,0,Fishing/Foraging,Anth
178,3,0,Non Anth,Non Anth
180,1,0,Fishing/Foraging,Anth
184,1,0,Fishing/Foraging,Anth
185,2,0,Non Anth,Non Anth
187,1,0,Fishing/Foraging,Anth
194,2,0,Non Anth,Non Anth
195,1,0,Fishing/Foraging,Anth
199,1,0,Fishing/Foraging,Anth
200,2,0,Non Anth,Non Anth
203,4,0,Pastoralist,Anth
206,2,0,Non Anth,Non Anth
304,1,0,Fishing/Foraging,Anth
312,1,0,Fishing/Foraging,Anth
323,1,0,Fishing/Foraging,Anth
342,2,0,Non Anth,Non Anth
357,2,0,Non Anth,Non Anth
366,1,0,Fishing/Foraging,Anth
367,1,0,Fishing/Foraging,Anth
431,1,0,Pastoralist,Anth
639,1,0,Fishing/Foraging,Anth
640,1,0,Fishing/Foraging,Anth
643,3,0,Non Anth,Non Anth
651,3,0,Non Anth,Non Anth
691,1,0,Fishing/Foraging,Anth
819,2,0,Non Anth,Non Anth
825,1,0,Fishing/Foraging,Anth
826,1,0,Fishing/Foraging,Anth
828,1,0,Fishing/Foraging,Anth
829,1,0,Fishing/Foraging,Anth
831,1,0,Fishing/Foraging,Anth
832,1,0,Fishing/Foraging,Anth
833,1,0,Fishing/Foraging,Anth
834,1,0,Fishing/Foraging,Anth
837,1,0,Fishing/Foraging,Anth
838,2,0,Non Anth,Non Anth
839,1,0,Fishing/Foraging,Anth
841,1,0,Fishing/Foraging,Anth
844,1,0,Fishing/Foraging,Anth
565,1,24,Fishing/Foraging,Anth
535,1,26,Fishing/Foraging,Anth
577,1,52,Fishing/Foraging,Anth
725,1,53,Fishing/Foraging,Anth
557,1,63,Fishing/Foraging,Anth
576,1,77,Fishing/Foraging,Anth
562,1,87,Fishing/Foraging,Anth
612,1,98,Fishing/Foraging,Anth
176,1,99,Fishing/Foraging,Anth
537,1,111,Fishing/Foraging,Anth
301,3,117,Non Anth,Non Anth
561,1,129,Fishing/Foraging,Anth
451,3,134,Pastoralist,Anth
599,1,138,Pastoralist,Anth
671,1,139,Fishing/Foraging,Anth
717,1,142,Fishing/Foraging,Anth
558,1,145,Fishing/Foraging,Anth
566,1,147,Fishing/Foraging,Anth
669,1,149,Fishing/Foraging,Anth
264,3,150,Pastoralist,Anth
388,1,152,Fishing/Foraging,Anth
748,1,165,Fishing/Foraging,Anth
536,1,169,Fishing/Foraging,Anth
569,1,172,Fishing/Foraging,Anth
410,1,181,Fishing/Foraging,Anth
550,1,184,Fishing/Foraging,Anth
723,1,185,Fishing/Foraging,Anth
10,1,188,Fishing/Foraging,Anth
217,1,190,Fishing/Foraging,Anth
442,1,191,Pastoralist,Anth
715,1,194,Fishing/Foraging,Anth
579,1,200,Fishing/Foraging,Anth
553,1,202,Fishing/Foraging,Anth
572,3,202,Non Anth,Non Anth
578,1,204,Fishing/Foraging,Anth
681,1,204,Fishing/Foraging,Anth
389,1,210,Fishing/Foraging,Anth
545,1,210,Fishing/Foraging,Anth
567,1,212,Fishing/Foraging,Anth
211,1,216,Fishing/Foraging,Anth
401,1,218,Fishing/Foraging,Anth
745,1,221,Fishing/Foraging,Anth
554,1,224,Fishing/Foraging,Anth
741,1,224,Fishing/Foraging,Anth
842,1,228,Fishing/Foraging,Anth
208,1,233,Fishing/Foraging,Anth
560,1,236,Fishing/Foraging,Anth
726,1,244,Fishing/Foraging,Anth
680,1,245,Fishing/Foraging,Anth
379,1,246,Fishing/Foraging,Anth
241,1,252,Fishing/Foraging,Anth
594,1,261,Pastoralist,Anth
607,1,263,Pastoralist,Anth
551,1,264,Fishing/Foraging,Anth
209,1,265,Fishing/Foraging,Anth
712,3,272,Non Anth,Non Anth
570,1,275,Fishing/Foraging,Anth
548,1,279,Fishing/Foraging,Anth
4,3,287,Non Anth,Non Anth
416,1,288,Fishing/Foraging,Anth
235,1,293,Fishing/Foraging,Anth
318,3,296,Non Anth,Non Anth
563,3,296,Non Anth,Non Anth
480,1,301,Fishing/Foraging,Anth
642,3,302,Non Anth,Non Anth
406,1,307,Fishing/Foraging,Anth
216,1,308,Fishing/Foraging,Anth
544,3,309,Non Anth,Non Anth
571,1,310,Fishing/Foraging,Anth
228,1,328,Fishing/Foraging,Anth
646,1,328,Fishing/Foraging,Anth
661,1,338,Fishing/Foraging,Anth
743,1,339,Fishing/Foraging,Anth
664,1,340,Fishing/Foraging,Anth
413,1,346,Fishing/Foraging,Anth
484,3,348,Non Anth,Non Anth
869,1,351,Mixed,Anth
539,1,356,Fishing/Foraging,Anth
552,1,356,Fishing/Foraging,Anth
695,1,366,Fishing/Foraging,Anth
408,1,367,Fishing/Foraging,Anth
682,1,367,Fishing/Foraging,Anth
690,1,367,Fishing/Foraging,Anth
654,1,383,Fishing/Foraging,Anth
835,1,385,Fishing/Foraging,Anth
387,1,386,Fishing/Foraging,Anth
573,1,386,Fishing/Foraging,Anth
827,1,387,Fishing/Foraging,Anth
843,1,387,Fishing/Foraging,Anth
307,3,393,Non Anth,Non Anth
538,1,393,Fishing/Foraging,Anth
692,1,397,Fishing/Foraging,Anth
648,1,399,Fishing/Foraging,Anth
409,3,402,Non Anth,Non Anth
686,1,411,Fishing/Foraging,Anth
404,4,415,Pastoralist,Anth
309,1,424,Fishing/Foraging,Anth
398,3,426,Non Anth,Non Anth
674,1,431,Fishing/Foraging,Anth
425,1,433,Pastoralist,Anth
231,3,437,Mixed,Anth
249,3,439,Pastoralist,Anth
481,1,440,Fishing/Foraging,Anth
694,1,442,Fishing/Foraging,Anth
375,1,444,Fishing/Foraging,Anth
709,1,457,Fishing/Foraging,Anth
716,3,457,Non Anth,Non Anth
237,1,458,Fishing/Foraging,Anth
737,1,474,Fishing/Foraging,Anth
873,1,479,Pastoralist,Anth
482,1,485,Fishing/Foraging,Anth
656,1,489,Fishing/Foraging,Anth
658,1,490,Fishing/Foraging,Anth
689,1,491,Fishing/Foraging,Anth
371,1,493,Fishing/Foraging,Anth
673,1,495,Fishing/Foraging,Anth
